"","x"
"1","1190002N15Rik"
"2","1200007C13Rik"
"3","1500009L16Rik"
"4","1500015O10Rik"
"5","1700086L19Rik"
"6","1810011O10Rik"
"7","1810041L15Rik"
"8","2010111I01Rik"
"9","2200002D01Rik"
"10","2810001G20Rik"
"11","2810417H13Rik"
"12","2810474O19Rik"
"13","3110079O15Rik"
"14","3222401L13Rik"
"15","3830403N18Rik"
"16","4930523C07Rik"
"17","5930412G12Rik"
"18","6330403K07Rik"
"19","8430408G22Rik"
"20","A230065H16Rik"
"21","A2m"
"22","A330069E16Rik"
"23","AW112010"
"24","AW551984"
"25","Aard"
"26","Abca1"
"27","Abca8a"
"28","Abca9"
"29","Abcc9"
"30","Abhd2"
"31","Abi3bp"
"32","Ablim1"
"33","Acan"
"34","Ace"
"35","Ackr3"
"36","Ackr4"
"37","Acot1"
"38","Acot2"
"39","Acox1"
"40","Acox3"
"41","Acp5"
"42","Acss3"
"43","Acta1"
"44","Acta2"
"45","Actg2"
"46","Adam12"
"47","Adam33"
"48","Adamdec1"
"49","Adamts1"
"50","Adamts14"
"51","Adamts15"
"52","Adamts18"
"53","Adamts2"
"54","Adamts4"
"55","Adamts5"
"56","Adamts8"
"57","Adamts9"
"58","Adamtsl1"
"59","Adamtsl3"
"60","Adap2"
"61","Adcy2"
"62","Adcyap1r1"
"63","Add3"
"64","Adgra2"
"65","Adgrd1"
"66","Adgrf5"
"67","Adgrg2"
"68","Adgrg6"
"69","Adgrl2"
"70","Adgrl3"
"71","Adh1"
"72","Adipoq"
"73","Adm"
"74","Adra2a"
"75","Adrb2"
"76","Adrb3"
"77","Aebp1"
"78","Afap1l2"
"79","Aff3"
"80","Agl"
"81","Agt"
"82","Agtr1a"
"83","Agtr2"
"84","Ahcyl2"
"85","Ahnak2"
"86","Ak3"
"87","Akap12"
"88","Akr1c14"
"89","Alas2"
"90","Alcam"
"91","Aldh1a2"
"92","Aldh1a3"
"93","Aldh3a1"
"94","Alox12"
"95","Alpl"
"96","Alx1"
"97","Amot"
"98","Amotl2"
"99","Amy1"
"100","Angpt1"
"101","Angpt2"
"102","Angpt4"
"103","Angptl1"
"104","Angptl2"
"105","Angptl4"
"106","Angptl7"
"107","Ank"
"108","Ank2"
"109","Ank3"
"110","Ankrd12"
"111","Ankrd37"
"112","Ankrd44"
"113","Anln"
"114","Ano1"
"115","Ano6"
"116","Anpep"
"117","Antxr1"
"118","Anxa1"
"119","Anxa3"
"120","Anxa8"
"121","Aoc3"
"122","Ap1s2"
"123","Apbb1ip"
"124","Apbb2"
"125","Apod"
"126","Apoe"
"127","Apold1"
"128","Aqp1"
"129","Ar"
"130","Arap2"
"131","Arc"
"132","Arhgap20"
"133","Arhgap24"
"134","Arhgap29"
"135","Arhgap6"
"136","Arhgdib"
"137","Arid5a"
"138","Arid5b"
"139","Arl4a"
"140","Arl4d"
"141","Arl6ip1"
