,gene,importance
3451,Col22a1,0.37234365008836623
8182,Ifitm5,0.255632282816258
1126,Adipoq,0.0397285017305893
3448,Col1a1,0.03705149791652911
14503,Spp1,0.016517423131696567
3117,Cfh,0.01633887004844037
3194,Chrdl1,0.015684911266996244
3599,Cpz,0.014286884115970027
15542,Tnc,0.012664759926599153
13504,Scrg1,0.011623653041395132
1326,Alpl,0.010160207627338198
14046,Slc36a2,0.008201869512887412
3440,Col11a2,0.007914051812155954
8479,Itm2a,0.006269821012956371
4260,Dmp1,0.006107201802726878
2186,Bglap,0.005644219835787862
12025,Prelp,0.003582485933440597
3456,Col27a1,0.0034059334024533253
9707,Mgp,0.0030317387616004784
3478,Col9a3,0.0029438622875651763
3792,Cxcl12,0.002893841951482265
3457,Col2a1,0.0026748751971298165
8218,Igfbp4,0.0025994204198229553
6666,Gm26917,0.002464682822573257
2208,Birc5,0.0020961804716894236
9667,Mfge8,0.0020383884207613406
11843,Postn,0.0019666992682680407
11613,Plagl1,0.0019097491532872087
11227,Pcolce2,0.0018732366200608006
3703,Cst3,0.001816014279386122
2986,Cdkn1c,0.0016872870070609826
2550,Car3,0.0016233991217880198
5601,Fth1,0.0015008194931789088
11691,Plpp1,0.0013711943824353718
16005,Twist2,0.0011927754891192805
3458,Col3a1,0.001191471500285141
13368,S100a11,0.001092324300182219
8907,Lars2,0.0010705099416532479
2187,Bglap2,0.0010689840735018778
16537,Wif1,0.0010280069361003877
13379,S100b,0.0010050088458192232
14253,Smpd3,0.0009765103593553961
3794,Cxcl14,0.0009511265908195444
10051,Msx1,0.0009254865019031777
9104,Lpl,0.000886729266907907
3026,Cenpa,0.0008857166394488767
9820,Mmp13,0.0008801274810378619
11311,Pdpn,0.0008571479560556477
11885,Ppia,0.0008494856971583549
3470,Col6a3,0.0008494790512646852
8126,Ibsp,0.0008490197726035807
4358,Dock9,0.0008436471753859641
3438,Col10a1,0.0007677303997356196
8072,Hsp90ab1,0.0007574307263197352
1766,Aspn,0.0007310565643125429
3449,Col1a2,0.000679653041022427
8221,Igfbp7,0.0006679372930030881
13673,Serpine2,0.0006546611178351246
3468,Col6a1,0.0006543741643297373
13375,S100a6,0.000645923863397549
2941,Cdh2,0.0006311963154593949
14443,Sparc,0.0006301173352597634
8436,Islr,0.0006266597479684067
9615,Mepe,0.0005843679171780233
5508,Fn1,0.0005390156690187452
2485,Calm1,0.0005368201323798932
3132,Chad,0.0005353596844156522
12324,Ptprz1,0.0005199910166342216
2469,Cadm1,0.0005124221278285201
3127,Cgref1,0.0005101018739995725
13973,Slc25a4,0.0005048894888003474
3441,Col12a1,0.0004924582790026804
2230,Bmp3,0.0004884724406417814
14711,Stmn1,0.00048574225976333893
5598,Fstl1,0.0004855870475599266
8612,Kcnk2,0.00047944572086996485
3567,Cpe,0.00047735012203722454
3476,Col9a1,0.00047062993574501963
9620,Mest,0.0004589152065171778
7922,Hmgb1,0.0004525346994701623
