,0
0,1190002N15Rik
1,1500009L16Rik
2,1500015O10Rik
3,1810011O10Rik
4,1810041L15Rik
5,2700069I18Rik
6,2810417H13Rik
7,2810474O19Rik
8,3110079O15Rik
9,3830403N18Rik
10,4930523C07Rik
11,6330403K07Rik
12,A230065H16Rik
13,A2m
14,A330069E16Rik
15,AW112010
16,AW551984
17,Aard
18,Abca1
19,Abca8a
20,Abcc9
21,Abhd2
22,Abi3bp
23,Ablim1
24,Acan
25,Ace
26,Ackr3
27,Ackr4
28,Acot1
29,Acta1
30,Acta2
31,Actg2
32,Adam12
33,Adam33
34,Adamts1
35,Adamts15
36,Adamts18
37,Adamts4
38,Adamts5
39,Adamts9
40,Adamtsl1
41,Adgrf5
42,Adgrg6
43,Adgrl2
44,Adgrl3
45,Adh1
46,Adipoq
47,Adm
48,Adra2a
49,Adrb2
50,Aebp1
51,Agl
52,Agt
53,Agtr1a
54,Agtr2
55,Ahcyl2
56,Ahnak2
57,Akap12
58,Alas2
59,Alcam
60,Aldh1a2
61,Aldh1a3
62,Alpl
63,Alx1
64,Amotl2
65,Angpt1
66,Angpt2
67,Angpt4
68,Angptl1
69,Angptl2
70,Angptl4
71,Angptl7
72,Ank
73,Ank2
74,Ank3
75,Ankrd44
76,Anln
77,Ano1
78,Anxa1
79,Anxa3
80,Anxa8
81,Aoc3
82,Apod
83,Apoe
84,Apold1
85,Aqp1
86,Ar
87,Arc
88,Arhgap20
89,Arhgap29
90,Arhgap6
91,Arhgdib
92,Arid5b
93,Arl4a
94,Arl6ip1
95,Arrdc3
96,Arrdc4
97,Arsi
98,Art3
99,Asb4
100,Asf1b
101,Aspm
102,Aspn
103,Atad2
104,Atcayos
105,Atf3
106,Atp1a2
107,Atp1b1
108,Atp2b4
109,Atp6v0a4
110,Aurka
111,Aurkb
112,Avpr1a
113,Axl
114,B230312C02Rik
115,B930036N10Rik
116,BC028528
117,BC100530
118,Bace2
119,Baiap2
120,Bambi
121,Barx1
122,Barx2
123,Basp1
124,Batf3
125,Bcl11b
126,Bcl2
127,Bcl2l11
128,Bdnf
129,Bex1
130,Bex2
131,Bglap
132,Bglap2
133,Bglap3
134,Bhlhe40
135,Bhlhe41
136,Birc3
137,Birc5
138,Bmp2
139,Bmp3
140,Bmp4
141,Bmp5
142,Bmp7
143,Bmp8a
144,Bnc2
145,Bnip3
146,Boc
147,Bok
148,Bst2
149,Btg2
150,Bub1b
151,C1qa
152,C1qb
153,C1qc
154,C1qtnf2
155,C1qtnf3
156,C1qtnf4
157,C1qtnf7
158,C1ra
159,C1s1
160,C2
161,C3
162,C4b
163,C6
164,Cadm1
165,Cadm3
166,Calb2
167,Calca
168,Calml3
169,Camk2n1
170,Camk4
171,Camp
172,Capg
173,Capn6
174,Car12
175,Car2
176,Car3
177,Car8
178,Casp4
179,Casq2
180,Cav1
181,Cavin2
182,Cbfa2t3
183,Cbln1
184,Cbln2
185,Ccdc3
186,Ccdc80
187,Cck
188,Ccl11
189,Ccl19
190,Ccl2
191,Ccl5
192,Ccl7
193,Ccl9
194,Ccna2
195,Ccnb1
196,Ccnb2
197,Ccnd1
198,Ccnd2
199,Ccne2
200,Cd109
201,Cd1d1
202,Cd200
203,Cd248
204,Cd24a
205,Cd27
206,Cd34
207,Cd36
208,Cd44
209,Cd52
210,Cd55
211,Cd59a
212,Cd74
213,Cd79a
214,Cd83
215,Cd93
216,Cdc20
217,Cdc42ep2
218,Cdc42ep3
219,Cdca3
220,Cdca8
221,Cdh13
222,Cdh15
223,Cdh2
224,Cdh5
225,Cdk1
226,Cdk6
227,Cdkn1a
228,Cdkn1c
229,Cdkn3
230,Cdo1
231,Cebpb
232,Cebpd
233,Celf2
234,Celf4
235,Cemip
236,Cenpa
237,Cenpe
238,Cenpf
239,Cenpm
240,Cenpw
241,Cfb
242,Cfh
243,Cgref1
244,Ch25h
245,Chad
246,Chadl
247,Chchd10
248,Chil1
249,Chka
250,Chl1
251,Chn1
252,Chodl
253,Chrdl1
254,Chst11
255,Chst2
256,Cilp
257,Cilp2
258,Cited1
259,Cited2
260,Ckap2
261,Ckap2l
262,Ckb
263,Cks2
264,Cldn1
265,Cldn10
266,Cldn11
267,Clec11a
268,Clec14a
269,Clec2d
270,Clec3b
271,Clspn
272,Clu
273,Cmtm5
274,Cnmd
275,Cnn1
276,Cnn2
277,Cnnm1
278,Cntfr
279,Cobl
280,Col10a1
281,Col11a1
282,Col11a2
283,Col12a1
284,Col13a1
285,Col14a1
286,Col15a1
287,Col18a1
288,Col1a1
289,Col22a1
290,Col23a1
291,Col24a1
292,Col25a1
293,Col26a1
294,Col27a1
295,Col2a1
296,Col3a1
297,Col4a1
