,0
0,1190002N15Rik
1,1200007C13Rik
2,1500009L16Rik
3,1500015O10Rik
4,1700086L19Rik
5,1810011O10Rik
6,1810041L15Rik
7,2010111I01Rik
8,2200002D01Rik
9,2810001G20Rik
10,2810417H13Rik
11,2810474O19Rik
12,3110079O15Rik
13,3222401L13Rik
14,3830403N18Rik
15,4930523C07Rik
16,5930412G12Rik
17,6330403K07Rik
18,8430408G22Rik
19,A230065H16Rik
20,A2m
21,A330069E16Rik
22,AW112010
23,AW551984
24,Aard
25,Abca1
26,Abca8a
27,Abca9
28,Abcc9
29,Abhd2
30,Abi3bp
31,Ablim1
32,Acan
33,Ace
34,Ackr3
35,Ackr4
36,Acot1
37,Acot2
38,Acox1
39,Acox3
40,Acp5
41,Acss3
42,Acta1
43,Acta2
44,Actg2
45,Adam12
46,Adam33
47,Adamdec1
48,Adamts1
49,Adamts14
50,Adamts15
51,Adamts18
52,Adamts2
53,Adamts4
54,Adamts5
55,Adamts8
56,Adamts9
57,Adamtsl1
58,Adamtsl3
59,Adap2
60,Adcy2
61,Adcyap1r1
62,Add3
63,Adgra2
64,Adgrd1
65,Adgrf5
66,Adgrg2
67,Adgrg6
68,Adgrl2
69,Adgrl3
70,Adh1
71,Adipoq
72,Adm
73,Adra2a
74,Adrb2
75,Adrb3
76,Aebp1
77,Afap1l2
78,Aff3
79,Agl
80,Agt
81,Agtr1a
82,Agtr2
83,Ahcyl2
84,Ahnak2
85,Ak3
86,Akap12
87,Akr1c14
88,Alas2
89,Alcam
90,Aldh1a2
91,Aldh1a3
92,Aldh3a1
93,Alox12
94,Alpl
95,Alx1
96,Amot
97,Amotl2
98,Amy1
99,Angpt1
100,Angpt2
101,Angpt4
102,Angptl1
103,Angptl2
104,Angptl4
105,Angptl7
106,Ank
107,Ank2
108,Ank3
109,Ankrd12
110,Ankrd37
111,Ankrd44
112,Anln
113,Ano1
114,Ano6
115,Anpep
116,Antxr1
117,Anxa1
118,Anxa3
119,Anxa8
120,Aoc3
121,Ap1s2
122,Apbb1ip
123,Apbb2
124,Apod
125,Apoe
126,Apold1
127,Aqp1
128,Ar
129,Arap2
130,Arc
131,Arhgap20
132,Arhgap24
133,Arhgap29
134,Arhgap6
135,Arhgdib
136,Arid5a
137,Arid5b
138,Arl4a
139,Arl4d
140,Arl6ip1
141,Arrdc3
142,Arrdc4
143,Arsi
144,Arsj
145,Art3
146,Asb4
147,Asf1b
148,Aspm
149,Aspn
150,Atad2
151,Atcayos
152,Atf3
153,Atf5
154,Atp1a2
155,Atp1b1
156,Atp1b2
157,Atp2b4
158,Atp6v0a4
159,Aurka
160,Aurkb
161,Avpr1a
162,Axl
163,B230312C02Rik
164,B3galnt1
165,B3galt2
166,B830012L14Rik
167,B930036N10Rik
168,BC028528
169,Bace2
170,Bach1
171,Baiap2
172,Bambi
173,Barx1
174,Barx2
175,Basp1
176,Batf3
177,Bcl11b
178,Bcl2
179,Bcl2l11
180,Bcl3
181,Bdnf
182,Bex1
183,Bex2
184,Bglap
185,Bglap2
186,Bglap3
187,Bhlhe40
188,Bhlhe41
189,Bicc1
190,Birc3
191,Birc5
192,Bmp2
193,Bmp2k
194,Bmp3
195,Bmp4
196,Bmp5
197,Bmp7
198,Bmp8a
199,Bmper
200,Bmx
201,Bnc2
202,Bnip3
203,Boc
204,Bok
205,Bst2
206,Btbd3
207,Btg2
208,Bub1
209,C1qa
210,C1qb
211,C1qc
212,C1qtnf2
213,C1qtnf3
214,C1qtnf4
215,C1qtnf7
216,C1ra
217,C1s1
218,C2
219,C2cd4b
220,C3
221,C4b
222,C5ar2
223,C6
224,Cadm1
225,Cadm3
226,Calca
227,Calcrl
228,Calml3
229,Caln1
230,Camk2n1
231,Camk4
232,Camp
233,Capg
234,Capn6
235,Caprin2
236,Car12
237,Car2
238,Car3
239,Car8
240,Casp12
241,Casp4
242,Casq2
243,Cav1
244,Cavin2
245,Cbfa2t3
246,Cbln1
247,Cbln2
248,Cbr3
249,Ccbe1
250,Ccdc102a
251,Ccdc3
252,Ccdc34
253,Ccdc80
254,Cck
255,Ccl11
256,Ccl19
257,Ccl2
258,Ccl3
259,Ccl5
260,Ccl7
261,Ccl9
262,Ccna2
263,Ccnb1
264,Ccnb2
265,Ccnd1
266,Ccnd2
267,Ccne1
268,Ccne2
269,Ccng2
270,Cd109
271,Cd1d1
272,Cd200
273,Cd248
274,Cd24a
275,Cd27
276,Cd34
277,Cd36
278,Cd44
279,Cd52
280,Cd55
281,Cd59a
282,Cd74
283,Cd79a
284,Cd83
285,Cd93
286,Cdc20
287,Cdc42ep2
288,Cdc42ep3
289,Cdca3
290,Cdca8
291,Cdh11
292,Cdh13
293,Cdh15
294,Cdh2
295,Cdh4
296,Cdh5
297,Cdk1
298,Cdk6
299,Cdkn1a
300,Cdkn1b
301,Cdkn1c
302,Cdkn2c
303,Cdkn3
304,Cdo1
305,Cdon
306,Cebpa
307,Cebpb
308,Celf2
309,Celf4
310,Cemip
311,Cenpa
312,Cenpe
313,Cenpf
314,Cenpm
315,Cenpw
316,Cers4
317,Cfb
318,Cfh
319,Cgnl1
320,Cgref1
321,Ch25h
322,Chad
323,Chadl
324,Chchd10
325,Chd7
326,Chil1
327,Chka
328,Chl1
329,Chn1
330,Chodl
331,Chrdl1
332,Chst1
333,Chst11
334,Chst2
335,Cilp
336,Cilp2
337,Cited1
338,Cited2
339,Ckap2
340,Ckap2l
341,Ckb
342,Cks2
343,Cldn1
344,Cldn10
345,Cldn11
346,Cldn5
